,favorites,retweets
8811,109,3
2922,104,8
4989,4,0
11033,107,14
1606,398,71
10220,107,4
2762,168,9
6143,9,0
3550,164,28
1659,81,12
9777,292,11
1446,182,33
8528,70,13
1020,509,37
705,138,12
9217,843,175
1866,131,17
10057,31,2
10450,67,1
8485,83,4
2122,198,41
2574,537,55
9608,709,39
1921,511,148
2956,35,0
7750,10,0
5998,616,366
3424,79,5
1419,905,155
8483,212,24
9384,218,22
8276,892,119
2025,398,126
594,939,79
1558,315,42
4029,15,0
8786,59,3
10153,15,4
4412,43,4
6759,1615,458
2058,180,46
4984,0,5
6463,239,163
4333,4,2
11621,354,105
11390,1931,798
3485,75,35
10906,149,6
3413,26,1
4209,3,0
9355,144,18
6911,153,11
6822,31,3
535,1478,67
9360,1596,274
292,2163,79
2836,326,14
6673,102,4
2870,1209,123
4845,17,0
4337,27,0
8385,27,1
5481,6922,922
5620,17110,5160
5204,24,1
1318,155,17
7442,27,1
10476,46,6
9156,1181,190
9582,427,60
10572,463,27
9139,985,47
8015,13,0
7410,10,1
5340,1893,175
7731,16,2
2228,472,77
5239,10,0
5829,555,238
9243,3742,354
4681,57,8
4833,49,11
9008,814,200
3431,8,0
356,10157,2290
11804,129,43
9997,109,24
5635,105,12
9896,179,19
837,2512,310
8703,61,1
6106,3,0
3952,18,0
2006,2,0
11113,97,12
8794,0,0
8621,3946,645
2362,411,68
10212,1025,137
4700,33,2
8694,641,35
3547,38,2
2899,938,227
1890,418,54
10706,45,7
157,8812,2554
9653,204,23
127,4424,345
5262,9480,543
1441,162,24
9190,533,80
7134,54,3
2748,186,11
8382,148,5
8886,10291,3204
5391,1013,82
3061,6,0
9990,32,3
5914,677,153
5504,10059,1271
11381,124,14
10378,404,45
1963,838,225
4532,28,1
10345,6,0
6961,43,7
11333,94,28
9376,476,99
3794,21,1
6291,155,39
9469,342,20
4674,15,3
6482,760,44
3752,10,1
1543,258,28
6258,917,505
7328,41,10
2268,257,61
11136,2578,788
4083,30,3
3994,18,1
3613,3,0
5065,6,0
9298,208,11
603,6501,1859
4220,7,0
6443,204,94
9304,228,21
393,345,9
10866,65,6
3219,16,2
6273,122,29
5437,4173,400
5994,509,152
8622,508,21
9875,186,9
3284,14,0
10179,38,8
8411,103,19
181,6655,282
2277,281,78
4191,11,4
6435,509,297
4533,20,0
3669,27,1
8193,128,3
4429,29,5
11396,223,20
401,2,0
6957,22,1
1631,249,28
10288,113,10
4454,11,1
3853,6,0
6814,60,8
7105,14,2
5169,14,0
11751,48,2
7905,30,0
11416,394,78
3873,4,0
8516,434,51
6958,133,22
6753,35,7
7334,977,192
7746,16,2
4718,6,1
10637,145,8
2067,321,129
6221,239,153
5964,816,380
1599,200,46
7335,14,0
1385,147,6
9066,67,10
10998,743,69
6145,545,142
1405,172,13
809,226,53
8750,438,28
2029,537,105
7910,22,0
2650,2341,137
11402,161,37
3024,8,0
11773,45,18
9260,244,21
5613,7517,1982
1702,180,20
6885,3,0
61,8751,1607
3528,59,1
7459,64,0
10584,266,7
2094,343,55
5459,14544,2277
10031,30,4
1880,145,77
7202,118,4
3941,10,0
11395,63,1
10277,2822,304
10329,17532,4351
2287,319,79
11386,140,19
8861,1035,159
5259,14905,2647
4387,4,0
8005,20,2
8542,131,15
664,2111,146
2906,0,0
1046,372,28
5419,1837,141
2404,1323,120
5099,15,1
7603,8,0
1568,589,41
462,3848,761
743,63,7
222,4628,209
11752,139,22
5786,1170,545
10605,698,68
625,7038,1030
6572,32,3
6398,725,265
2188,380,117
2177,182,55
6754,89,8
9910,153,7
7445,49,1
6914,8,0
438,6966,1792
4250,20,0
8042,39,4
353,865,28
7990,126,6
456,458,38
9364,871,31
6486,1190,80
239,3388,132
7671,24,1
10643,366,96
7669,10,0
7960,5,0
3244,6,0
7774,24,0
3461,70,0
6098,597,223
4265,2,0
1018,71,9
7406,45,3
8466,823,83
1760,280,54
3601,29,2
10434,858,125
10080,74,15
1103,684,138
9748,253,14
7434,28,0
3509,19,1
10464,445,115
3251,35,0
5692,8479,4373
3705,32,1
3063,47,0
11139,70,5
4077,3,0
2947,1479,253
10886,450,120
11153,717,84
7308,20,3
11194,459,177
10891,476,56
10347,727,30
10596,1352,322
9574,701,71
9995,1,0
4978,9,0
1034,470,96
2264,404,115
4934,5,2
7412,34,3
7572,46,2
5862,319,53
906,236,26
7799,54,9
8504,172,5
11558,157,14
9964,580,151
1415,369,46
11378,739,227
2286,114,26
3838,116,10
11257,511,109
11783,77,4
8417,25,6
5111,10,0
7826,88,4
6008,85,22
3441,145,1
2900,390,35
1721,142,24
8437,610,223
9142,839,88
3184,79,1
8718,695,46
1824,104,115
3080,108,3
10410,333,11
3023,11,1
7977,59,3
9568,1564,334
1901,292,83
3819,39,3
8251,20,2
1918,584,107
5092,13,3
7791,107,25
1569,118,16
5601,20105,4857
347,1732,181
1242,172,26
420,2894,175
4607,13,3
11129,325,7
3857,27,0
4347,61,1
9677,1106,115
11120,144,19
9497,1074,123
10361,25,1
1031,448,84
11405,153,13
6685,15,2
10413,150,14
9629,2396,231
10503,195,22
4104,37,1
763,302,36
10565,869,36
11173,155,24
10512,66,5
2484,94,4
1222,97,5
5766,378,82
2134,62,15
2423,1721,1555
3646,19,1
9899,760,104
6096,1216,459
8377,118,9
6227,328,90
6178,205,91
11817,232,20
1575,504,43
509,1488,493
9258,186,21
6070,270,54
10656,25,4
2304,112,7
11285,341,65
748,62,5
8141,18,1
11419,596,90
1259,1615,271
3077,27,1
5632,3749,1142
11630,119,19
11449,324,27
9974,35,4
711,58,2
8663,3140,295
10842,21,0
9732,147,9
11069,57,7
9027,3307,259
1372,444,76
712,131,16
3329,79,1
10265,677,455
3909,6,0
9756,1396,224
4385,42,5
4868,102,3
4653,5,0
4128,5,0
7691,28,0
8997,1485,150
1482,143,17
1489,590,55
104,11674,383
10941,246,21
1794,314,76
6695,6,1
1821,367,61
2386,197,6
4026,21,0
4991,14,0
10549,830,104
1741,192,30
1658,231,59
212,5189,1151
6343,311,302
7320,53,5
11304,36,5
3058,24,0
323,2236,524
11197,224,15
1097,345,57
11401,28,4
1359,366,60
334,3524,98
5034,5,0
3110,53,4
4097,37,5
1613,350,41
7936,17,2
792,557,31
233,2937,147
9675,56,8
5062,2,1
8057,299,9
209,7096,595
10213,2410,508
8022,166,12
5354,3901,407
10986,306,42
6053,339,140
4832,36,3
3508,45,5
2413,445,32
4256,25,0
8978,85,3
10653,190,7
9192,8,0
8513,374,33
871,88,4
9559,1350,49
1263,327,37
1618,351,32
6703,28,2
11320,201,10
10991,82,4
8147,94,3
8805,1216,202
9322,668,82
1220,226,25
3495,15,0
1765,432,58
9883,1146,126
2456,69,6
5523,2919,295
8817,4,0
2001,606,201
1513,101,10
4353,3,0
2801,893,129
3635,38,0
6715,0,0
2523,742,95
8408,33,1
8532,54,3
9128,600,22
7625,31,1
10857,95,14
3910,30,3
3078,250,16
8397,98,9
11354,264,16
10515,178,4
4091,12,0
10325,548,28
2110,232,32
6182,17,5
